City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Doume,CM,2022-01-24 00:27:56,4.2333,13.45,68.67,32,51,2.48
210,Verkhnevilyuysk,RU,2022-01-24 00:27:56,63.4453,120.3167,-6.52,98,48,5.21
211,Atherton,GB,2022-01-24 00:27:56,53.5237,-2.4935,40.28,84,79,4.68
212,Iquique,CL,2022-01-24 00:27:57,-20.2208,-70.1431,68.52,85,76,4.03
213,Jodhpur,IN,2022-01-24 00:27:57,26.2867,73.03,52.77,61,0,6.08
214,Samagaltay,RU,2022-01-24 00:27:57,50.6022,95.0047,-9.44,97,66,2.42
215,Bathsheba,BB,2022-01-24 00:27:58,13.2167,-59.5167,77.61,73,20,16.11
216,Karatau,KZ,2022-01-24 00:27:58,43.1667,70.4667,27.46,90,91,0.6
217,Mahebourg,MU,2022-01-24 00:27:58,-20.4081,57.7,79.09,89,20,3.44
218,Pangnirtung,CA,2022-01-24 00:27:59,66.1451,-65.7125,-4.2,79,100,5.86
219,Krivodol,BG,2022-01-24 00:27:59,43.3744,23.4844,27.3,81,100,8.03
220,Vysokogornyy,RU,2022-01-24 00:27:59,50.1167,139.15,-8.82,98,94,3.91
221,Correntina,BR,2022-01-24 00:28:00,-13.3433,-44.6367,71.22,85,79,3.02
222,Ilulissat,GL,2022-01-24 00:28:00,69.2167,-51.1,14.02,52,100,16.11
223,Vila Velha,BR,2022-01-24 00:28:01,-20.3297,-40.2925,78.75,86,75,5.75
224,Kulhudhuffushi,MV,2022-01-24 00:27:18,6.6221,73.07,80.26,64,98,9.15
225,Praia Da Vitoria,PT,2022-01-24 00:28:01,38.7333,-27.0667,62.85,67,20,6.08
226,Zemlyansk,RU,2022-01-24 00:29:01,51.9041,38.7334,19.04,94,100,14.58
227,Kirakira,SB,2022-01-24 00:25:33,-10.4544,161.9205,85.39,75,99,8.28
228,Tete,MZ,2022-01-24 00:29:02,-16.1564,33.5867,77.09,83,75,4.61
229,Talcahuano,CL,2022-01-24 00:29:02,-36.7167,-73.1167,60.53,82,0,13.87
230,Tafresh,IR,2022-01-24 00:29:03,34.692,50.013,31.77,29,7,5.37
231,Nanning,CN,2022-01-24 00:26:58,22.8167,108.3167,57.65,84,100,5.03
232,Lixourion,GR,2022-01-24 00:29:03,38.2019,20.4314,43.34,48,28,13.73
233,Ulaanbaatar,MN,2022-01-24 00:29:03,47.9077,106.8832,-11.07,77,75,0.0
234,Sitka,US,2022-01-24 00:29:04,57.0531,-135.33,39.09,93,100,0.0
235,Saint-Joseph,RE,2022-01-24 00:29:04,-21.3667,55.6167,77.36,81,44,9.42
236,Naryan-Mar,RU,2022-01-24 00:29:04,67.6713,53.087,11.64,90,99,19.69
237,Djibo,BF,2022-01-24 00:29:05,14.1022,-1.6306,66.04,13,0,10.2
238,Beira,MZ,2022-01-24 00:27:01,-19.8436,34.8389,80.69,89,75,12.66
239,Te Anau,NZ,2022-01-24 00:26:50,-45.4167,167.7167,61.38,59,53,1.39
240,Zemio,CF,2022-01-24 00:29:05,5.0314,25.1361,72.09,36,16,4.47
241,Nanortalik,GL,2022-01-24 00:29:06,60.1432,-45.2371,23.85,77,100,7.11
242,Komsomolets,KZ,2022-01-24 00:29:06,53.7453,62.0708,-13.04,96,14,0.45
243,Nyurba,RU,2022-01-24 00:29:06,63.2842,118.3319,-6.21,97,85,6.44
244,Yeniseysk,RU,2022-01-24 00:29:07,58.4497,92.1703,-17.68,100,98,1.28
245,Sommerda,DE,2022-01-24 00:29:07,51.15,11.1,42.93,94,100,1.12
246,Andapa,MG,2022-01-24 00:29:07,-14.65,49.65,69.39,98,100,2.37
247,Port Blair,IN,2022-01-24 00:29:08,11.6667,92.75,69.84,100,40,1.14
248,Srednekolymsk,RU,2022-01-24 00:29:08,67.45,153.6833,-26.03,98,100,6.8
249,Mvomero,TZ,2022-01-24 00:29:08,-6.25,38.6667,74.73,96,100,6.58
250,Pagudpud,PH,2022-01-24 00:29:09,18.5616,120.7868,76.96,80,16,8.52
251,Rafraf,TN,2022-01-24 00:29:09,37.1904,10.1837,39.52,66,0,6.29
252,Miri,MY,2022-01-24 00:29:09,4.4148,114.0089,77.14,100,40,8.05
253,Camana,PE,2022-01-24 00:29:10,-16.6228,-72.7111,72.68,82,77,7.4
254,Ribeira Grande,PT,2022-01-24 00:29:10,38.5167,-28.7,59.94,64,8,5.61
255,Krasnoselkup,RU,2022-01-24 00:28:13,65.7,82.4667,-21.51,100,100,2.84
256,Kavaratti,IN,2022-01-24 00:29:10,10.5669,72.642,79.57,64,15,10.8
257,Mar Del Plata,AR,2022-01-24 00:28:16,-38.0023,-57.5575,72.09,86,0,4.0
258,Vilyuysk,RU,2022-01-24 00:29:11,63.7553,121.6247,-9.17,98,85,6.13
259,Mareeba,AU,2022-01-24 00:29:11,-17.0,145.4333,84.49,72,100,4.79
260,Rio Cuarto,AR,2022-01-24 00:29:11,-33.1307,-64.3499,73.17,73,0,9.22
261,Akhtanizovskaya,RU,2022-01-24 00:29:12,45.32,37.1,28.87,99,100,15.79
262,Abu Samrah,SY,2022-01-24 00:29:12,35.3029,37.1841,39.33,89,52,11.48
263,Atbasar,KZ,2022-01-24 00:29:13,51.8,68.3333,-6.74,95,95,7.0
264,Urumqi,CN,2022-01-24 00:29:13,43.801,87.6005,11.35,85,100,2.24
265,North Bend,US,2022-01-24 00:25:42,43.4065,-124.2243,59.92,77,0,9.22
266,Goundam,ML,2022-01-24 00:29:13,16.4145,-3.6708,64.6,16,0,9.98
