City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Grindavik,IS,63.8424,-22.4338,34.27,93,75,13.8,light snow
168,Sao Filipe,CV,14.8961,-24.4956,71.44,68,100,9.48,overcast clouds
169,Charters Towers,AU,-20.1,146.2667,72.32,85,9,11.32,clear sky
170,Kailua,US,21.4022,-157.7394,73.74,79,0,8.05,light rain
171,Bambanglipuro,ID,-7.95,110.2833,78.55,86,100,2.04,moderate rain
172,Diffa,NE,13.3154,12.6113,78.21,10,19,16.75,few clouds
173,Mogadishu,SO,2.0371,45.3438,79.3,70,27,23.2,scattered clouds
174,Honningsvag,NO,70.9821,25.9704,32.68,58,100,16.73,light snow
175,Krasnotorka,UA,48.682,37.5327,32.09,94,100,13.91,overcast clouds
176,Papara,BR,-3.9839,-38.7273,81.0,56,68,6.51,light rain
177,Ratholo,BW,-22.7245,27.572,76.5,65,100,10.8,overcast clouds
178,Klaksvik,FO,62.2266,-6.589,36.52,69,87,48.47,overcast clouds
179,Vestmannaeyjar,IS,63.4427,-20.2734,29.39,64,0,4.61,clear sky
180,Nantucket,US,41.2835,-70.0995,33.91,97,100,50.78,snow
181,Rabaul,PG,-4.1967,152.1721,80.44,80,100,6.91,light rain
182,Adrar,MR,20.5022,-10.0711,86.02,9,100,17.94,overcast clouds
183,Half Moon Bay,US,37.4636,-122.4286,52.97,83,0,0.0,clear sky
184,Najran,SA,17.4924,44.1277,77.65,25,5,3.0,clear sky
185,Anloga,GH,5.7947,0.8973,93.42,55,14,11.1,few clouds
186,San Lawrenz,MT,36.0553,14.204,54.86,50,40,7.0,scattered clouds
187,Saint George,US,37.1041,-113.5841,46.87,40,0,0.0,clear sky
188,Lompoc,US,34.6391,-120.4579,60.78,55,0,5.75,clear sky
189,Udachnyy,RU,66.4167,112.4,-22.81,100,43,3.38,scattered clouds
190,Keti Bandar,PK,24.1447,67.4497,71.4,67,1,8.95,clear sky
191,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,81.16,80,94,3.24,moderate rain
192,Esperance,AU,-33.8667,121.9,67.84,73,0,18.99,clear sky
193,Sitka,US,57.0531,-135.33,38.77,92,100,10.09,moderate rain
194,Takaungu,KE,-3.6837,39.8566,84.69,75,5,16.22,clear sky
195,Pyu,MM,18.4833,96.4333,66.06,39,24,2.93,few clouds
196,Sai Buri,TH,6.7013,101.6168,76.59,81,3,5.48,clear sky
197,Bambous Virieux,MU,-20.3428,57.7575,82.65,78,75,8.05,light rain
198,Manta,EC,-0.95,-80.7333,76.78,88,75,2.3,light rain
199,Tiarei,PF,-17.5333,-149.3333,77.02,77,60,13.51,broken clouds
200,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.69,74,77,9.75,broken clouds
201,Amga,RU,60.8953,131.9608,-27.83,100,100,2.01,overcast clouds
202,Banda Aceh,ID,5.5577,95.3222,79.47,83,9,9.33,clear sky
203,Letpadan,MM,17.7833,95.75,61.93,59,9,3.78,clear sky
204,Toora-Khem,RU,52.4675,96.11,-20.52,99,75,0.58,broken clouds
205,The Valley,AI,18.217,-63.0578,82.26,65,40,13.8,scattered clouds
206,Mahajanga,MG,-15.7167,46.3167,86.02,70,20,10.36,few clouds
207,Anqiu,CN,36.4342,119.1925,29.12,39,50,1.01,scattered clouds
208,Samarai,PG,-10.6167,150.6667,79.27,83,100,9.75,moderate rain
209,Dongsheng,CN,39.8161,109.9776,22.51,45,13,9.73,few clouds
210,Huarmey,PE,-10.0681,-78.1522,72.86,77,100,7.9,overcast clouds
211,Troitsko-Pechorsk,RU,62.7084,56.1964,12.85,95,100,8.23,overcast clouds
212,College,US,64.8569,-147.8028,-5.48,67,0,0.0,clear sky
213,Holme,DK,56.1138,10.1725,48.18,80,100,34.0,overcast clouds
214,Rognan,NO,67.0953,15.3878,28.54,83,100,9.01,overcast clouds
215,Kajaani,FI,64.2273,27.7285,23.05,86,100,14.97,snow
216,Farah,AF,32.5,62.5,50.9,45,27,0.94,scattered clouds
217,Rambouillet,FR,48.5833,1.9167,49.6,94,100,11.39,overcast clouds
218,Severo-Kurilsk,RU,50.6789,156.125,23.45,72,100,19.73,overcast clouds
219,Janauba,BR,-15.8025,-43.3089,82.81,59,87,7.67,overcast clouds
220,Merauke,ID,-8.4667,140.3333,80.6,84,100,12.86,light rain
221,Mokokchung,IN,26.3333,94.5333,42.55,87,0,3.4,clear sky
222,Oranjestad,AW,12.524,-70.027,82.35,61,20,11.5,few clouds
223,Nevsehir,TR,38.9167,34.6667,4.21,92,75,4.61,mist
224,Nouadhibou,MR,20.931,-17.0347,71.58,35,100,14.97,overcast clouds
225,Redlands,US,34.0556,-117.1825,57.02,24,100,1.01,overcast clouds
226,Nuuk,GL,64.1835,-51.7216,12.33,90,100,19.37,snow
